schema_name,table_name,index_name,type_desc,is_unique,is_primary_key,is_unique_constraint,key_ordinal,column_name,is_included_column
dbo,_user,IX__user,NONCLUSTERED,1,0,1,1,WIN_ID,0
dbo,_user,PK__user,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_usp,IX__usp,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_usp,IX__usp,NONCLUSTERED,1,0,1,2,UspName,0
dbo,_usp,PK__usp,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_wfl,IX__wfl,CLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_wfl,IX__wfl,CLUSTERED,1,0,1,2,PROJ_ID,0
dbo,_wfl,IX__wfl,CLUSTERED,1,0,1,3,Name,0
dbo,_wfl,PK__wfl,NONCLUSTERED,1,1,0,1,GEO_ID,0
dbo,Activities,IX_Activities,CLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Activities,IX_Activities,CLUSTERED,1,0,1,2,PROJ_ID,0
dbo,Activities,IX_Activities,CLUSTERED,1,0,1,3,DATE,0
dbo,Activities,IX_Activities,CLUSTERED,1,0,1,4,RIG,0
dbo,Activities,IX_Activities,CLUSTERED,1,0,1,5,START_DATE,0
dbo,Activities,IX_Activities,CLUSTERED,1,0,1,6,END_DATE,0
dbo,Activities,PK_Activities,NONCLUSTERED,1,1,0,1,GEO_ID,0
dbo,Anchor,IX_Anchor,CLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Anchor,IX_Anchor,CLUSTERED,1,0,1,2,PROJ_ID,0
dbo,Anchor,IX_Anchor,CLUSTERED,1,0,1,3,POINT_ID,0
dbo,Anchor,IX_Anchor,CLUSTERED,1,0,1,4,BASE,0
dbo,Anchor,PK_Anchor,NONCLUSTERED,1,1,0,1,GEO_ID,0
dbo,AREA,IX_AREA,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,AREA,IX_AREA,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,AREA,PK_AREA,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,Atterberg,IX_Atterberg,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Atterberg,IX_Atterberg,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,Atterberg,IX_Atterberg,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,Atterberg,IX_Atterberg,NONCLUSTERED,1,0,1,4,SAMPLE_TOP,0
dbo,Atterberg,IX_Atterberg,NONCLUSTERED,1,0,1,5,SAMPLE_REFERENCE,0
dbo,Atterberg,IX_Atterberg,NONCLUSTERED,1,0,1,6,SAMPLE_TYPE,0
dbo,Atterberg,IX_Atterberg,NONCLUSTERED,1,0,1,7,SPECIMEN_TOP,0
dbo,Atterberg,IX_Atterberg,NONCLUSTERED,1,0,1,8,SPECIMEN_REFERENCE,0
dbo,Atterberg,IX_Atterberg_SAMPLEID,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Atterberg,IX_Atterberg_SAMPLEID,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,Atterberg,IX_Atterberg_SAMPLEID,NONCLUSTERED,1,0,1,3,SAMPLE_ID,0
dbo,Atterberg,IX_Atterberg_SAMPLEID,NONCLUSTERED,1,0,1,4,SPECIMEN_TOP,0
dbo,Atterberg,IX_Atterberg_SAMPLEID,NONCLUSTERED,1,0,1,5,SPECIMEN_REFERENCE,0
dbo,Atterberg,PK_Atterberg,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,Backfill,IX_Backfill,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Backfill,IX_Backfill,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,Backfill,IX_Backfill,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,Backfill,IX_Backfill,NONCLUSTERED,1,0,1,4,TOP,0
dbo,Backfill,IX_Backfill,NONCLUSTERED,1,0,1,5,BASE,0
dbo,Backfill,PK_Backfill,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,Casing,IX_Casing,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Casing,IX_Casing,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,Casing,IX_Casing,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,Casing,IX_Casing,NONCLUSTERED,1,0,1,4,TOP,0
dbo,Casing,PK_Casing,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,Clients,IX_Clients,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Clients,IX_Clients,NONCLUSTERED,1,0,1,2,CLIENT_ID,0
dbo,Clients,PK_Clients,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,CLUSTER,IX_CLUSTER,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,CLUSTER,IX_CLUSTER,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,CLUSTER,IX_CLUSTER,NONCLUSTERED,1,0,1,3,CLUSTER_ID,0
dbo,CLUSTER,PK_CLUSTER,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,Construction,IX_Construction,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Construction,IX_Construction,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,Construction,IX_Construction,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,Construction,IX_Construction,NONCLUSTERED,1,0,1,4,TOP,0
dbo,Construction,IX_Construction,NONCLUSTERED,1,0,1,5,BASE,0
dbo,Construction,IX_Construction,NONCLUSTERED,1,0,1,6,TYPE,0
dbo,Construction,PK_Construction,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,Consumables,IX_Consumables,CLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Consumables,IX_Consumables,CLUSTERED,1,0,1,2,PROJ_ID,0
dbo,Consumables,IX_Consumables,CLUSTERED,1,0,1,3,DATE,0
dbo,Consumables,IX_Consumables,CLUSTERED,1,0,1,4,RIG,0
dbo,Consumables,IX_Consumables,CLUSTERED,1,0,1,5,ITEM,0
dbo,Consumables,PK_Consumables,NONCLUSTERED,1,1,0,1,GEO_ID,0
dbo,Contractors,IX_Contractors,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Contractors,IX_Contractors,NONCLUSTERED,1,0,1,2,ContractorID,0
dbo,Contractors,PK_Contractors,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,Core,IX_Core,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Core,IX_Core,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,Core,IX_Core,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,Core,IX_Core,NONCLUSTERED,1,0,1,4,TOP,0
dbo,Core,IX_Core,NONCLUSTERED,1,0,1,5,BASE,0
